Company Name,Exchange,URL
Caretech Holdings PLC,"AIM
ALTERNATIVE INVESTMENT MARKET",https://www.annualreports.com/Company/caretech-holdings-plc
Craneware plc,"AIM
ALTERNATIVE INVESTMENT MARKET",https://www.annualreports.com/Company/craneware-plc
Team Internet,"AIM
ALTERNATIVE INVESTMENT MARKET",https://www.annualreports.com/Company/teaminternet
YouGov PLC,"AIM
ALTERNATIVE INVESTMENT MARKET",https://www.annualreports.com/Company/yougov-plc
Young & Co.'s Brewery plc,"AIM
ALTERNATIVE INVESTMENT MARKET",https://www.annualreports.com/Company/young-cos-brewery-plc
Adams Resources & Energy Inc.,"AMEX
AMERICAN STOCK EXCHANGE",https://www.annualreports.com/Company/adams-resources-energy-inc
American Vanguard Corp.,"AMEX
AMERICAN STOCK EXCHANGE",https://www.annualreports.com/Company/american-vanguard-corp
"Bancorp of New Jersey, Inc.","AMEX
AMERICAN STOCK EXCHANGE",https://www.annualreports.com/Company/bancorp-of-new-jersey-inc
Barnwell Industries Inc.,"AMEX
AMERICAN STOCK EXCHANGE",https://www.annualreports.com/Company/barnwell-industries-inc
Blonder Tongue Laboratories Inc.,"AMEX
AMERICAN STOCK EXCHANGE",https://www.annualreports.com/Company/blonder-tongue-laboratories-inc
Castle Brands Inc.,"AMEX
AMERICAN STOCK EXCHANGE",https://www.annualreports.com/Company/castle-brands-inc
CCA Industries Inc.,"AMEX
AMERICAN STOCK EXCHANGE",https://www.annualreports.com/Company/cca-industries-inc
Cheniere Energy Inc.,"AMEX
AMERICAN STOCK EXCHANGE",https://www.annualreports.com/Company/cheniere-energy-inc
Delta Apparel Inc.,"AMEX
AMERICAN STOCK EXCHANGE",https://www.annualreports.com/Company/delta-apparel-inc
Eastern Co.,"AMEX
AMERICAN STOCK EXCHANGE",https://www.annualreports.com/Company/eastern-co
Eldorado Gold Corp,"AMEX
AMERICAN STOCK EXCHANGE",https://www.annualreports.com/Company/eldorado-gold-corp
eMagin Corp.,"AMEX
AMERICAN STOCK EXCHANGE",https://www.annualreports.com/Company/emagin-corp
Emerson Electric Co.,"AMEX
AMERICAN STOCK EXCHANGE",https://www.annualreports.com/Company/emerson-electric-co
Espey Manufacturing & Electronics Corp.,"AMEX
AMERICAN STOCK EXCHANGE",https://www.annualreports.com/Company/espey-manufacturing-electronics-corp
Evolution Petroleum Corp.,"AMEX
AMERICAN STOCK EXCHANGE",https://www.annualreports.com/Company/evolution-petroleum-corp
Full House Resorts Inc.,"AMEX
AMERICAN STOCK EXCHANGE",https://www.annualreports.com/Company/full-house-resorts-inc
"Genesis Energy, L.P.","AMEX
AMERICAN STOCK EXCHANGE",https://www.annualreports.com/Company/genesis-energy-lp
GlobalScape Inc.,"AMEX
AMERICAN STOCK EXCHANGE",https://www.annualreports.com/Company/globalscape-inc
Gold Resource Corp.,"AMEX
AMERICAN STOCK EXCHANGE",https://www.annualreports.com/Company/gold-resource-corp
Goldfield Corp.,"AMEX
AMERICAN STOCK EXCHANGE",https://www.annualreports.com/Company/goldfield-corp
Graham Corporation,"AMEX
AMERICAN STOCK EXCHANGE",https://www.annualreports.com/Company/graham-corporation
GSE Systems Inc.,"AMEX
AMERICAN STOCK EXCHANGE",https://www.annualreports.com/Company/gse-systems-inc
IEC Electronics Corp.,"AMEX
AMERICAN STOCK EXCHANGE",https://www.annualreports.com/Company/iec-electronics-corp
Impac Mortgage Holdings,"AMEX
AMERICAN STOCK EXCHANGE",https://www.annualreports.com/Company/impac-mortgage-holdings
"Iteris, Inc.","AMEX
AMERICAN STOCK EXCHANGE",https://www.annualreports.com/Company/iteris-inc
Ladenburg Thalmann Financial Services Inc.,"AMEX
AMERICAN STOCK EXCHANGE",https://www.annualreports.com/Company/ladenburg-thalmann-financial-services-inc
Lannett Co. Inc.,"AMEX
AMERICAN STOCK EXCHANGE",https://www.annualreports.com/Company/lannett-co-inc
LSB Industries Inc.,"AMEX
AMERICAN STOCK EXCHANGE",https://www.annualreports.com/Company/lsb-industries-inc
"Mastech Holdings, Inc","AMEX
AMERICAN STOCK EXCHANGE",https://www.annualreports.com/Company/mastech-holdings-inc
Mexco Energy Corporation,"AMEX
AMERICAN STOCK EXCHANGE",https://www.annualreports.com/Company/mexco-energy-corporation
"MGT Capital Investments, Inc.","AMEX
AMERICAN STOCK EXCHANGE",https://www.annualreports.com/Company/mgt-capital-investments-inc
Mid Penn Bancorp Inc.,"AMEX
AMERICAN STOCK EXCHANGE",https://www.annualreports.com/Company/mid-penn-bancorp-inc
Nabors Industries Ltd.,"AMEX
AMERICAN STOCK EXCHANGE",https://www.annualreports.com/Company/nabors-industries-ltd
National Health Investors Inc.,"AMEX
AMERICAN STOCK EXCHANGE",https://www.annualreports.com/Company/national-health-investors-inc
National HealthCare Corporation,"AMEX
AMERICAN STOCK EXCHANGE",https://www.annualreports.com/Company/national-healthcare-corporation
Natural Gas Services Group Inc.,"AMEX
AMERICAN STOCK EXCHANGE",https://www.annualreports.com/Company/natural-gas-services-group-inc
Palatin Technologies Inc.,"AMEX
AMERICAN STOCK EXCHANGE",https://www.annualreports.com/Company/palatin-technologies-inc
"Protalix BioTherapeutics, Inc.","AMEX
AMERICAN STOCK EXCHANGE",https://www.annualreports.com/Company/protalix-biotherapeutics-inc
PS Business Parks Inc.,"AMEX
AMERICAN STOCK EXCHANGE",https://www.annualreports.com/Company/ps-business-parks-inc
Regenerx Biopharmaceuticals Inc.,"AMEX
AMERICAN STOCK EXCHANGE",https://www.annualreports.com/Company/regenerx-biopharmaceuticals-inc
Samson Oil & Gas Limited,"AMEX
AMERICAN STOCK EXCHANGE",https://www.annualreports.com/Company/samson-oil-gas-limited
Seaboard Corp.,"AMEX
AMERICAN STOCK EXCHANGE",https://www.annualreports.com/Company/seaboard-corp
SIFCO Industries Inc.,"AMEX
AMERICAN STOCK EXCHANGE",https://www.annualreports.com/Company/sifco-industries-inc
Solitario Zinc Corp.,"AMEX
AMERICAN STOCK EXCHANGE",https://www.annualreports.com/Company/solitario-exploration-royalty-corp
Southwest Georgia Financial Corp.,"AMEX
AMERICAN STOCK EXCHANGE",https://www.annualreports.com/Company/southwest-georgia-financial-corp
Titan Pharmaceuticals Inc.,"AMEX
AMERICAN STOCK EXCHANGE",https://www.annualreports.com/Company/titan-pharmaceuticals-inc
Two Harbors Investment Corp.,"AMEX
AMERICAN STOCK EXCHANGE",https://www.annualreports.com/Company/two-harbors-investment-corp
UMH Properties Inc.,"AMEX
AMERICAN STOCK EXCHANGE",https://www.annualreports.com/Company/umh-properties-inc
"Universal Insurance Holdings, Inc.","AMEX
AMERICAN STOCK EXCHANGE",https://www.annualreports.com/Company/universal-insurance-holdings-inc
"UQM Technologies, Inc.","AMEX
AMERICAN STOCK EXCHANGE",https://www.annualreports.com/Company/uqm-technologies-inc
Aeris Environmental,"ASX
AUSTRALIAN SECURITIES EXCHANGE",https://www.annualreports.com/Company/aeris-environmental
1414 Degrees,"ASX
AUSTRALIAN SECURITIES EXCHANGE",https://www.annualreports.com/Company/degree
3D Oil Limited,"ASX
AUSTRALIAN SECURITIES EXCHANGE",https://www.annualreports.com/Company/3d-oil-limited
3D Resources Limited,"ASX
AUSTRALIAN SECURITIES EXCHANGE",https://www.annualreports.com/Company/3d-resources-limited
3P Learning,"ASX
AUSTRALIAN SECURITIES EXCHANGE",https://www.annualreports.com/Company/3p-learning
4DMedical,"ASX
AUSTRALIAN SECURITIES EXCHANGE",https://www.annualreports.com/Company/4d-medical
4DS Memory,"ASX
AUSTRALIAN SECURITIES EXCHANGE",https://www.annualreports.com/Company/memory
5G Networks,"ASX
AUSTRALIAN SECURITIES EXCHANGE",https://www.annualreports.com/Company/5g-networks
88 Energy Limited,"ASX
AUSTRALIAN SECURITIES EXCHANGE",https://www.annualreports.com/Company/88-energy-limited
8I Holdings,"ASX
AUSTRALIAN SECURITIES EXCHANGE",https://www.annualreports.com/Company/8I-holdings
8VI Holdings Ltd,"ASX
AUSTRALIAN SECURITIES EXCHANGE",https://www.annualreports.com/Company/8VI-holdings-ltd
9Spokes,"ASX
AUSTRALIAN SECURITIES EXCHANGE",https://www.annualreports.com/Company/spoke
A1 Investments & Resources Ltd,"ASX
AUSTRALIAN SECURITIES EXCHANGE",https://www.annualreports.com/Company/a1-investments-resources-ltd
A2B Australia,"ASX
AUSTRALIAN SECURITIES EXCHANGE",https://www.annualreports.com/Company/A2B-australia
Abacus Property Group,"ASX
AUSTRALIAN SECURITIES EXCHANGE",https://www.annualreports.com/Company/abacus-property-group
Abilene Oil and Gas Limited,"ASX
AUSTRALIAN SECURITIES EXCHANGE",https://www.annualreports.com/Company/abilene-oil-gas-limited
Absolute Equity Performance Fund,"ASX
AUSTRALIAN SECURITIES EXCHANGE",https://www.annualreports.com/Company/absolute-equity-performance-fund
ABx Group,"ASX
AUSTRALIAN SECURITIES EXCHANGE",https://www.annualreports.com/Company/abx-group
Academies Australasia Group Limited,"ASX
AUSTRALIAN SECURITIES EXCHANGE",https://www.annualreports.com/Company/academies-australasia-group-limited
Accelerate Resources Limited,"ASX
AUSTRALIAN SECURITIES EXCHANGE",https://www.annualreports.com/Company/accelerate-resources-limited
Accent Group Limited,"ASX
AUSTRALIAN SECURITIES EXCHANGE",https://www.annualreports.com/Company/accent-group-limited
Accent Resources,"ASX
AUSTRALIAN SECURITIES EXCHANGE",https://www.annualreports.com/Company/accent-resource
Acrow Group,"ASX
AUSTRALIAN SECURITIES EXCHANGE",https://www.annualreports.com/Company/acrow-group
Acrux Limited,"ASX
AUSTRALIAN SECURITIES EXCHANGE",https://www.annualreports.com/Company/acrux-limited
Actinogen Medical,"ASX
AUSTRALIAN SECURITIES EXCHANGE",https://www.annualreports.com/Company/actinogen-medical
ActivEX Limited,"ASX
AUSTRALIAN SECURITIES EXCHANGE",https://www.annualreports.com/Company/activex-limited
Acumentis,"ASX
AUSTRALIAN SECURITIES EXCHANGE",https://www.annualreports.com/Company/acumenti
AD1 Holdings,"ASX
AUSTRALIAN SECURITIES EXCHANGE",https://www.annualreports.com/Company/ad1-holding
Adairs Limited,"ASX
AUSTRALIAN SECURITIES EXCHANGE",https://www.annualreports.com/Company/adairs-limited
AdAlta,"ASX
AUSTRALIAN SECURITIES EXCHANGE",https://www.annualreports.com/Company/adAlta
Adelaide Brighton Limited,"ASX
AUSTRALIAN SECURITIES EXCHANGE",https://www.annualreports.com/Company/adelaide-brighton-limited
Adherium,"ASX
AUSTRALIAN SECURITIES EXCHANGE",https://www.annualreports.com/Company/adherium
Admiralty Resources,"ASX
AUSTRALIAN SECURITIES EXCHANGE",https://www.annualreports.com/Company/admiralty-resources
Adslot Limited,"ASX
AUSTRALIAN SECURITIES EXCHANGE",https://www.annualreports.com/Company/adslot-limited
Advanced Share Registry,"ASX
AUSTRALIAN SECURITIES EXCHANGE",https://www.annualreports.com/Company/advanced-share-registry
Adveritas Limited,"ASX
AUSTRALIAN SECURITIES EXCHANGE",https://www.annualreports.com/Company/adveritas-limited
ADX Energy,"ASX
AUSTRALIAN SECURITIES EXCHANGE",https://www.annualreports.com/Company/adx-energy
Aeeris,"ASX
AUSTRALIAN SECURITIES EXCHANGE",https://www.annualreports.com/Company/aeeris
Aeris Resources Limited,"ASX
AUSTRALIAN SECURITIES EXCHANGE",https://www.annualreports.com/Company/aeris-resources-limited
Aerison Group Ltd,"ASX
AUSTRALIAN SECURITIES EXCHANGE",https://www.annualreports.com/Company/aerison-group-ltd
Aerometrex Limited,"ASX
AUSTRALIAN SECURITIES EXCHANGE",https://www.annualreports.com/Company/aerometrex-limited
African Energy Resources,"ASX
AUSTRALIAN SECURITIES EXCHANGE",https://www.annualreports.com/Company/african-energy-resources
Afterpay Limited,"ASX
AUSTRALIAN SECURITIES EXCHANGE",https://www.annualreports.com/Company/afterpay-limited
AGL Energy Limited,"ASX
AUSTRALIAN SECURITIES EXCHANGE",https://www.annualreports.com/Company/agl-energy-limited
Agricultural Land Trust,"ASX
AUSTRALIAN SECURITIES EXCHANGE",https://www.annualreports.com/Company/agricultural-land-trust
Agrimin Limited,"ASX
AUSTRALIAN SECURITIES EXCHANGE",https://www.annualreports.com/Company/agrimin-limited
Aguia Resources,"ASX
AUSTRALIAN SECURITIES EXCHANGE",https://www.annualreports.com/Company/aguia-resource
Ai-Media Technologies Limited,"ASX
AUSTRALIAN SECURITIES EXCHANGE",https://www.annualreports.com/Company/ai-media-technologies-limited
Ainsworth Game Technology Limited,"ASX
AUSTRALIAN SECURITIES EXCHANGE",https://www.annualreports.com/Company/ainsworth-game-technology-limited
Air New Zealand Limited,"ASX
AUSTRALIAN SECURITIES EXCHANGE",https://www.annualreports.com/Company/air-new-zealand-limited
AJ Lucas Group Limited,"ASX
AUSTRALIAN SECURITIES EXCHANGE",https://www.annualreports.com/Company/aj-lucas-group-lmited
Akora Resources Limited,"ASX
AUSTRALIAN SECURITIES EXCHANGE",https://www.annualreports.com/Company/akora-resources-limited
Alara Resources Limited,"ASX
AUSTRALIAN SECURITIES EXCHANGE",https://www.annualreports.com/Company/alara-resources-limited
Albion Resources Limited,"ASX
AUSTRALIAN SECURITIES EXCHANGE",https://www.annualreports.com/Company/albion-resources-limited
Alchemy Resources Limited,"ASX
AUSTRALIAN SECURITIES EXCHANGE",https://www.annualreports.com/Company/alchemy-resources-limited
Alcidion Group Limited,"ASX
AUSTRALIAN SECURITIES EXCHANGE",https://www.annualreports.com/Company/alcidion-group-limited
Aldoro Resources,"ASX
AUSTRALIAN SECURITIES EXCHANGE",https://www.annualreports.com/Company/aldoro-resource
ALE Property Group,"ASX
AUSTRALIAN SECURITIES EXCHANGE",https://www.annualreports.com/Company/ale-property-group
Alexium International Group Limited,"ASX
AUSTRALIAN SECURITIES EXCHANGE",https://www.annualreports.com/Company/alexium-international-group-limited
Alicanto Minerals,"ASX
AUSTRALIAN SECURITIES EXCHANGE",https://www.annualreports.com/Company/alicanto-mineral
Alice Queen Limited,"ASX
AUSTRALIAN SECURITIES EXCHANGE",https://www.annualreports.com/Company/alice-queen-limited
Alkane Resources Limited,"ASX
AUSTRALIAN SECURITIES EXCHANGE",https://www.annualreports.com/Company/alkane-resources-limited
Allegiance Coal Limited,"ASX
AUSTRALIAN SECURITIES EXCHANGE",https://www.annualreports.com/Company/allegiance-coal-limited
Alliance Nickel Limited,"ASX
AUSTRALIAN SECURITIES EXCHANGE",https://www.annualreports.com/Company/alliance-nickel-limited
