id,name,image,link
i1,Agricultural Chemicals,,https://www.annualreports.com/Companies?ind=i1
i2,Aluminum,,https://www.annualreports.com/Companies?ind=i2
i3,Chemicals - Major Diversified,,https://www.annualreports.com/Companies?ind=i3
i4,Copper,,https://www.annualreports.com/Companies?ind=i4
i5,Gold,,https://www.annualreports.com/Companies?ind=i5
i6,Independent Oil & Gas,,https://www.annualreports.com/Companies?ind=i6
i7,Industrial Metals & Minerals,,https://www.annualreports.com/Companies?ind=i7
i8,Major Integrated Oil & Gas,,https://www.annualreports.com/Companies?ind=i8
i9,Nonmetallic Mineral Mining,,https://www.annualreports.com/Companies?ind=i9
i10,Oil & Gas Drilling & Exploration,,https://www.annualreports.com/Companies?ind=i10
i11,Oil & Gas Equipment & Services,,https://www.annualreports.com/Companies?ind=i11
i12,Oil & Gas Pipelines,,https://www.annualreports.com/Companies?ind=i12
i13,Oil & Gas Refining & Marketing,,https://www.annualreports.com/Companies?ind=i13
i14,Silver,,https://www.annualreports.com/Companies?ind=i14
i15,Specialty Chemicals,,https://www.annualreports.com/Companies?ind=i15
i16,Steel & Iron,,https://www.annualreports.com/Companies?ind=i16
i17,Synthetics,,https://www.annualreports.com/Companies?ind=i17
i18,Conglomerates,,https://www.annualreports.com/Companies?ind=i18
i19,Appliances,,https://www.annualreports.com/Companies?ind=i19
i20,Auto Manufacturers - Major,,https://www.annualreports.com/Companies?ind=i20
i21,Auto Parts,,https://www.annualreports.com/Companies?ind=i21
i22,Beverages - Brewers,,https://www.annualreports.com/Companies?ind=i22
i23,Beverages - Soft Drinks,,https://www.annualreports.com/Companies?ind=i23
i24,Beverages - Wineries & Distillers,,https://www.annualreports.com/Companies?ind=i24
i25,Business Equipment,,https://www.annualreports.com/Companies?ind=i25
i26,Cigarettes,,https://www.annualreports.com/Companies?ind=i26
i27,Cleaning Products,,https://www.annualreports.com/Companies?ind=i27
i28,Confectioners,,https://www.annualreports.com/Companies?ind=i28
i29,Dairy Products,,https://www.annualreports.com/Companies?ind=i29
i30,Electronic Equipment,,https://www.annualreports.com/Companies?ind=i30
i31,Farm Products,,https://www.annualreports.com/Companies?ind=i31
i32,Food - Major Diversified,,https://www.annualreports.com/Companies?ind=i32
i33,Home Furnishings & Fixtures,,https://www.annualreports.com/Companies?ind=i33
i34,Housewares & Accessories,,https://www.annualreports.com/Companies?ind=i34
i35,Meat Products,,https://www.annualreports.com/Companies?ind=i35
i36,Office Supplies,,https://www.annualreports.com/Companies?ind=i36
i37,Packaging & Containers,,https://www.annualreports.com/Companies?ind=i37
i38,Paper & Paper Products,,https://www.annualreports.com/Companies?ind=i38
i39,Personal Products,,https://www.annualreports.com/Companies?ind=i39
i40,Photographic Equipment & Supplies,,https://www.annualreports.com/Companies?ind=i40
i41,Processed & Packaged Goods,,https://www.annualreports.com/Companies?ind=i41
i42,"Recreational Goods, Other",,https://www.annualreports.com/Companies?ind=i42
i43,Recreational Vehicles,,https://www.annualreports.com/Companies?ind=i43
i44,Rubber & Plastics,,https://www.annualreports.com/Companies?ind=i44
i45,Sporting Goods,,https://www.annualreports.com/Companies?ind=i45
i46,Textile - Apparel Clothing,,https://www.annualreports.com/Companies?ind=i46
i47,Textile - Apparel Footwear & Accessories,,https://www.annualreports.com/Companies?ind=i47
i48,"Tobacco Products, Other",,https://www.annualreports.com/Companies?ind=i48
i49,Toys & Games,,https://www.annualreports.com/Companies?ind=i49
i50,Trucks & Other Vehicles,,https://www.annualreports.com/Companies?ind=i50
i51,Accident & Health Insurance,,https://www.annualreports.com/Companies?ind=i51
i52,Asset Management,,https://www.annualreports.com/Companies?ind=i52
i288,Capital Markets,,https://www.annualreports.com/Companies?ind=i288
i53,Closed-End Fund - Debt,,https://www.annualreports.com/Companies?ind=i53
i54,Closed-End Fund - Equity,,https://www.annualreports.com/Companies?ind=i54
i55,Closed-End Fund - Foreign,,https://www.annualreports.com/Companies?ind=i55
i56,Credit Services,,https://www.annualreports.com/Companies?ind=i56
i57,Diversified Investments,,https://www.annualreports.com/Companies?ind=i57
i291,Financial Services,,https://www.annualreports.com/Companies?ind=i291
i58,Foreign Money Center Banks,,https://www.annualreports.com/Companies?ind=i58
i59,Foreign Regional Banks,,https://www.annualreports.com/Companies?ind=i59
i289,Insurance - Diversified,,https://www.annualreports.com/Companies?ind=i289
i60,Insurance Brokers,,https://www.annualreports.com/Companies?ind=i60
i61,Investment Brokerage - National,,https://www.annualreports.com/Companies?ind=i61
i62,Investment Brokerage - Regional,,https://www.annualreports.com/Companies?ind=i62
i63,Life Insurance,,https://www.annualreports.com/Companies?ind=i63
i64,Money Center Banks,,https://www.annualreports.com/Companies?ind=i64
i65,Mortgage Investment,,https://www.annualreports.com/Companies?ind=i65
i66,Property & Casualty Insurance,,https://www.annualreports.com/Companies?ind=i66
i67,Property Management,,https://www.annualreports.com/Companies?ind=i67
i68,REIT - Diversified,,https://www.annualreports.com/Companies?ind=i68
i69,REIT - Healthcare Facilities,,https://www.annualreports.com/Companies?ind=i69
i70,REIT - Hotel/Motel,,https://www.annualreports.com/Companies?ind=i70
i71,REIT - Industrial,,https://www.annualreports.com/Companies?ind=i71
i72,REIT - Office,,https://www.annualreports.com/Companies?ind=i72
i73,REIT - Residential,,https://www.annualreports.com/Companies?ind=i73
i74,REIT - Retail,,https://www.annualreports.com/Companies?ind=i74
i75,Real Estate Development,,https://www.annualreports.com/Companies?ind=i75
i76,Regional - Mid-Atlantic Banks,,https://www.annualreports.com/Companies?ind=i76
i77,Regional - Midwest Banks,,https://www.annualreports.com/Companies?ind=i77
i78,Regional - Northeast Banks,,https://www.annualreports.com/Companies?ind=i78
i79,Regional - Pacific Banks,,https://www.annualreports.com/Companies?ind=i79
i80,Regional - Southeast Banks,,https://www.annualreports.com/Companies?ind=i80
i81,Regional - Southwest Banks,,https://www.annualreports.com/Companies?ind=i81
i82,Savings & Loans,,https://www.annualreports.com/Companies?ind=i82
i83,Surety & Title Insurance,,https://www.annualreports.com/Companies?ind=i83
i84,Biotechnology,,https://www.annualreports.com/Companies?ind=i84
i85,Diagnostic Substances,,https://www.annualreports.com/Companies?ind=i85
i86,Drug Delivery,,https://www.annualreports.com/Companies?ind=i86
i87,Drug Manufacturers - Major,,https://www.annualreports.com/Companies?ind=i87
i88,Drug Manufacturers - Other,,https://www.annualreports.com/Companies?ind=i88
